Unnamed: 0,Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Sheet Link
,Smart Sensing for Internet of Things (IoT),SSIoT,CSE576,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTbniS1A7aYPFroWNoP9iod9nbGgONnYzp4beCLc6WOHa3lGQ0AO-kYdzokiuVHYS1bDP4BSIXVS7In/pubhtml?gid=635991787&amp;single=true&amp;widget=true&amp;headers=false
,Advanced Internet of Things,AIOT,CSE577,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSvMSQfRn63Y3te_sH8Cq-ieEoBVU4kucPpHjd93-hP7LwhzycznL-nY5ZHQCwCud_x4rBVSKBBzfcT/pubhtml?gid=683955526&amp;single=true&amp;widget=true&amp;headers=false
,Ontology Modeling,OM,CSE580A,CSE102,,Monsoon/Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSYyM0naq9HUesUJR7nF7fafdmM_WOxrhdbuRscZPGU2HqSuggi3qfjv8BvGugkSWE1489GbRXFbdsj/pubhtml?gid=970179527&amp;single=true&amp;widget=true&amp;headers=false
,"Systems Analysis, Design and Requirements Engineering",SADRE,CSE581,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQa2MODMaGAtu-cY1mVgAt3_7NiolRiEJN0GFgpIRUulnVqA5eVc-UgzCyy2pvZ_6p-0vmLv_5gIEFb/pubhtml?gid=1068694149&amp;single=true&amp;widget=true&amp;headers=false
,Software Production Evolution and Maintenance,SPEM,CSE582,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTGb1MbieihybwE32NicZAHbRMxGtfWRtRoG0t4pi9syGqt2wRlO3v9304zAc2cSEsXzp3du3Mkp0mf/pubhtml?gid=1836884130&amp;single=true&amp;widget=true&amp;headers=false
,Software Development using Open Source,SDOS,CSE583,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSCbHeqArIirpUzCxjcI2sOoDg_hwsQlhzUZhJ8mQa9ZTGyFnGvtrznnaaqd2MYUXEPeb9vn4jwfrML/pubhtml?gid=689684211&amp;single=true&amp;widget=true&amp;headers=false
,Program Verification,PV,CSE584,CSE121orMTH210,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ3dnMt2cWsc0NVT7XfbTR4g9XvEY3fiRDm_DQVlsvvgUEsWimP1cqBQ9_DOBV1aZdc6PHEHGW8W_Eq/pubhtml?gid=1873881049&amp;single=true&amp;widget=true&amp;headers=false
,Geometry Processing,GP,CSE5GP,CSE101,,Monsoon/Winter,
,Object Oriented Programming and Design,OOPD,CSE600A/ECE600A,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ8t6zDXNdUNyyozg0SgYHARw90DUgkwl_POr3UUMLQf-7Qi3JxcvD7lwaeCu3SwQ/pubhtml?widget=true&amp;headers=false
,Compilers,CMP,CSE601,"CSE101,CSE201,CSE102",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vS7onZoXhG3etGVpNNsueP4ygOhngDOEfoFHQvskFkqnAD_Qbq1o7DBxTacN0cWnw/pubhtml?widget=true&amp;headers=false
,Knowledge Graphs in Practice,KG,CSE605A,CSE508orCSE551,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQtT5Bsw9xW0GgBvaszeLkduhD00FQ02cemnO8CAOStDVp79dK7MPqFc71zrOkIIkxysH224iFpnXhd/pubhtml?gid=1541949958&amp;single=true&amp;widget=true&amp;headers=false
,Data Warehouse,DW,CSE606,CSE202,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTUf1fiIUkp1UxojLfvvK8drJnsQTvAa8c0_jZ678d9X5TNzgXrjaLxrhb7Vu5ME_DqKKhMXU9QMeC5/pubhtml?gid=1683895876&amp;single=true&amp;widget=true&amp;headers=false
,Data Lifecycle Management,DLM,CSE606A,CSE343/CSE543/ECE563,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vR5UDMP80b1j6pPxTPD_lwcSeJHTXEu19xMUeVXMc8dWq_fW5gWmuFpll86hbau4283ouXgaTPCkg9R/pubhtml?gid=406761402&amp;single=true&amp;widget=true&amp;headers=false
,Statistical Computation,SComp,CSE609,MTH201,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQx8Ux5MpcOcZa9B_46gM2V0hIvFhYwxv0Tke23sZIEOwLWzGfwS8zrt0yKdJpwBmYdQt-HwPxudkLK/pubhtml?gid=775108295&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to Quantum Computing,IQC,CSE622,MTH100,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTAQTCKy4vfmTJtoxZQGLaK7SUszETkzjO-3ymkYXj7X2iARp0F5nI9dPonmfQisrws703st0Jv39kM/pubhtml?gid=476596079&amp;single=true&amp;widget=true&amp;headers=false
,Advanced Operating Systems,AOS,CSE631,CSE231,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vThskid0LW8W5YK_3gkn_tzYEUCIr-Uuiflv_8lzul1mAanx_zURv1CovzKPTMWDToRZxT5w2hU8lUM/pubhtml?gid=491090824&amp;single=true&amp;widget=true&amp;headers=false
,Semantic Web,Sweb,CSE632,"CSE101,CSE202",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_QMjASthjRxBHN0dWDS9qiYTBC65XW2LwM5IxiLn6dVM7mka1LMBosdApuCC_6A/pubhtml?widget=true&amp;headers=false
,Robotics,IRob,CSE633/ECE670,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQcs-yctRS0NbiI5W_RZDU0L5uIEAb3HQk1h14OKJAusM3bLjdD5FBmo0nm06Td5P65eQte_6qsaUIG/pubhtml?gid=1048481514&amp;single=true&amp;widget=true&amp;headers=false
,Social Robotics,SR,CSE633A,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTI5ilreSHJRdVtdvqzSPxFILN6jj3PykTtdjhRQuiupBDZ3mDScRLGZuBj7VuknM7HjxZxYPCIEj_K/pubhtml?gid=492663949&amp;single=true&amp;widget=true&amp;headers=false
,Communication Networks,COMN,CSE636/ECE636,MTH201,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vR8q7CuZIv3CY7w4CZqyv0LJBbfKLGVrrPtEsNDUnfMO_ZU1kSavpLyD9iLsobw-A/pubhtml?widget=true&amp;headers=false
,Collaborative Filtering,CF,CSE640,MTH100,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vT0E0qoNG8tBMJH3f7zEzeADIR0W1BCLUjk8eSp8Gt3DcZRsDu0OgTMq-OAgb47-wLYAW-3idVZahaK/pubhtml?gid=965717698&amp;single=true&amp;widget=true&amp;headers=false
,Advanced Machine Learning,AML,CSE642,"MTH201,CSE343/CSE543",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTaxT0jgPQDx6TDPmwDi3w_PJdvZmgmznubw4FqPq2EIh-K0EpIo9PiboNHgb5mfQ/pubhtml?widget=true&amp;headers=false
,Artificial Intelligence,AI,CSE643,CSE102,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSMW7RVBlzsqmkahGbBOU7NoXFvCU3CqNjCdf8ZA-xTNQobn6zyfJF99-ooFpcfOBBKketS4QEeWO1o/pubhtml?gid=1023588975&amp;single=true&amp;widget=true&amp;headers=false
,Privacy and Security in Online Social Media,PSOSM,CSE645,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQL0aOhxywenmrVkmXof9XNgTIMvMGhPxml8LDzHX-5fGbPB2OW17fKNXjKeXzzUOBnRi-Q-GaMZn-u/pubhtml?gid=592300686&amp;single=true&amp;widget=true&amp;headers=false
,Topics in Adaptive Cybersecurity,TAC,CSE651,CSE345/CSE545,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRt_JDf3nqyPX88DvvKKPIx4Aen--FKRg5b3oJmOCKKtMxsWTGWrHaDKxFjZZxhNeWhvOWUa4kJX4y9/pubhtml?gid=384866951&amp;single=true&amp;widget=true&amp;headers=false
,Network Science,NS,CSE655,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQJ-q-kEbTTrdGKsQvIQm8dUMt-aqBXKWty7QL9YaIXWK3LhW-w_zI3pPuyEDYTlGkBwp7otGMA-22D/pubhtml?gid=1296776501&amp;single=true&amp;widget=true&amp;headers=false
,Information Integration and Applications,IIA,CSE656,CSE202(DBMS),,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQl1jfCiSdnD6oSNRd1jLrfoG-f8MGczGBkz6P95vq88uJjLYxDTOqSAjHmDlBHRFtUjk7YS_MkcxvM/pubhtml?widget=true&amp;headers=false
,Trustworthy AI systems,TAIS,CSE660,CSE643orCSE343/CSE543/ECE563orCSE342/CSE542,CSE660A,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTNKtyOwmLiOd3e5LV_faL8FF-Dw_XU8zv03MxtbMOSni_iBRFxHVfIh01A2SrIygCNXo1NYRCKiSMv/pubhtml?gid=1890934262&amp;single=true&amp;widget=true&amp;headers=false
,Affective Computing,AFC,CSE661/DES507,"CSE101,CSE102,CSE201",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSCNe_wMsK2S6FddAwYwPdsN3e0bfyLjFsQ2ozH_7u8AfFhKUl-WAr7apjF1u4VjvYJl6GrpdkANxdZ/pubhtml?gid=1637076029&amp;single=true&amp;widget=true&amp;headers=false
,Special Topics in Computer Vision,SCV,CSE662A,ECE350,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSPtSGJY_IiM9S3qcwD9F7rNjMFxmf0iNeYaZX2qbmgAIcw-a9if7Gv-DiPOZEO9Duze2XdAbz9cKg2/pubhtml?gid=1285684676&amp;single=true&amp;widget=true&amp;headers=false
,Edge AI,EAI,CSE663,"CSE343/CSE543/ECE563,CSE342/CSE542",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQYcgc-3A1CTQaVTu6jNzaXsNtt9Y0_CUiRmKPGB-bFKLk1mX187PgDjh2dyjt8yPcc5bSQIr57SJoI/pubhtml?gid=46108080&amp;single=true&amp;widget=true&amp;headers=false
,Meta-Learning,MEL,CSE663A,"CSE643,CSE343/CSE543/ECE563orCSE641",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTE2R4s1m2xe3rA3ZPnyJeUBfd2nu_w20ZcGOA2Ex2B_7v2C00u7T94ap3rPaRuUMyBaKadrcdFdRIP/pubhtml?gid=440080984&amp;single=true&amp;widget=true&amp;headers=false
,Multimedia Security,MS,CSE694F/ECE651,ECE350,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSAYLIGatDeVRnrmpsMieN3ilU0WnpkfE0kXzDMCNm_1SV8Dl1v-UC26NivIVkpgZpQ72Y0gIFwl5Vq/pubhtml?gid=306035239&amp;single=true&amp;widget=true&amp;headers=false
,Topics in Software Engineering: AI in SE,TSE,CSE701,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6e6oj01NRjhFdcYt3hewwCl1yI8wKfDVkDONScJyDmHWgbNXymWnGpKXGwgGtb8Oq97-MAU3g8BKe/pubhtml?widget=true&amp;headers=false
,Advanced Topics in Mobile Computing,ATMC,CSE734,CSE232,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTmwY1mGzOycjfV0udtIkIbhiwDWVs-J9kNRzEt-y45w_YA2WzNBnUHL_OWgNQLBt2yWh1tsxuR7w81/pubhtml?gid=989395989&amp;single=true&amp;widget=true&amp;headers=false
,Network Anonymity and Privacy,NAP,CSE749,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vS8US7HUwuuWAXEyIPCooPvCJWBfOaiMmKK6RaM_35Wj0rP3wJl7popg0qNjMlRl8LzldKaVXLvdEzM/pubhtml?gid=2020853934&amp;single=true&amp;widget=true&amp;headers=false
,Topics in Cryptanalysis,TC,CSE653,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTiPKZdSGFy-91odwYPXrYJgfrQtj48IiRoGFMiydbEcJbp_a_Rg0aEUHop2JzGaw/pubhtml?widget=true&amp;headers=false
,Design Drawing & Visualization,DDV,DES101,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vS-Rnv1xn8TTDMdXUPaa6JA83ERk6ovgmLaSSxbM_JDfvQlc6CX3nNE2aOq1zclpVhtYVbWI7iTP-hP/pubhtml?gid=1014395369&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to HCI,IHCI,DES102,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTsDRl3Mb9ysUFqeZOgzF4v5-aJsZyWFfp8E9th6Ebz0t7CAVmBQaILdlQ3nSmVL2q3ehx6Zgie3_Vq/pubhtml?gid=853160820&amp;single=true&amp;widget=true&amp;headers=false
,Prototyping Interactive Systems,PIS,DES130,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTJxgVEn6Wro2tEr4T9ws8Bu5Py9v51aJC4-AXQCFnHxVzhlvP9bPabYPUXW5aQtcay5wU8yolR-dEk/pubhtml?gid=118570513&amp;single=true&amp;widget=true&amp;headers=false
,Design Processes and Perspectives,DPP,DES201,CompletionofDESIGNDRAWING&VISUALISATION(DDV)CourseParallelCourseVISUALDESIGN&COMMUNICATION,,Monsoon,https://docs.google.com/spreadsheets/d/1ze10rh0z41sliW144hff-cSmuCrk0IIr/pubhtml?widget=true&amp;headers=false
,Visual Design & Communication,VDC,DES202,DES101,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQU8P27CVZzgmr6QKORgmfeWPh7uaQf8NUC_4jOgsLTnW84y7nXXyakPqH3veg7Bzx6-c8r2mc6cD0p/pubhtml?widget=true&amp;headers=false
,Human Computer Interaction,HCI,DES204,,CSE501,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRR5B4AENSgM_KDYEeZf3yZ9bqrdIkyxK3iQ8mWlcJQxCs9yLGjiy82Un162bZ1v6egH_VmAPb9Bi42/pubhtml?gid=867895045&amp;single=true&amp;widget=true&amp;headers=false
,Design of Interactive Systems,DIS,DES205/DES519,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRyck5ChIVnbfSdnxL53SNrfxCxOJaim3rCeTO1nwtuzjDBGOCQqN6bzPs8MG3fZNrowgtnpbLcytSO/pubhtml?gid=259116244&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to Animation and Graphics,IAG,DES302,,Animation& Graphics,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQgEN4DBDDNlfe2AAwUnvU19C53jLLIgVLZWBd30wp2huUXwG3tr338tRQQK7a3Kg/pubhtml?widget=true&amp;headers=false
,Film Making and Radio Podcasting,FMRP,DES303,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSVdD_IBoiJAUQMe9iZw0iavs-TWU1Rf_btqCxl0WCPXW2jBtiCeRu3ZVweusavc0yYPYvLQUVhOu0R/pubhtml?gid=922806395&amp;single=true&amp;widget=true&amp;headers=false
,Fundamentals of Audio for Engineers,FAE,DES501,BasicknowledgeofClass12Maths&Physics,,Monsoon,https://docs.google.com/spreadsheets/d/1-vXwf4kcISQMyZD_Q5Lqv6EuoRwgeYsH/pubhtml?widget=true&amp;headers=false
,Introduction to 2D Animation,I2D,DES502,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRoqfqFWflH7dabU4LXwj1bfHbAqrwWG7Us_akWohIRTVMK9zTsGkOww2F9m2Q-wQ/pubhtml?widget=true&amp;headers=false
,Introduction to 3D Character Animation,I3DA,DES503,DES302orDES516,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSEm8iHtHB3vw4cvBnHKjPgFSJVrYK2S_2MWI1B9Szs5ooe7C77PXfgL5hH4srCVmmzjESiB-fX_d2o/pubhtml?gid=1129494464&amp;single=true&amp;widget=true&amp;headers=false
,Narratives in Visual Communication,NVC,DES504,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRzZ-X8sQrma1w33eXxvHD0FmCySv5uxLYmXYMfbGUQQDifQe9nJ-tBzLAEnq51aBRsj0auIz0UVbA7/pubhtml?gid=323904771&amp;single=true&amp;widget=true&amp;headers=false
,Advanced topics in Human Centered Computing (ATHCC),ATHCC,DES506,DES204,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTfdIEmdpjxaS8yoNvNXlo1h9Rw5ekLCVUClu2KCP4e_QjOasc9HpfG8LDEW3fglRDRE5kbYm1z_AjK/pubhtml?gid=1448933464&amp;single=true&amp;widget=true&amp;headers=false
,Meta-Learning,MTL,CSE618,Atleastoneofthefollowingcourses:ECE363/ECE563/CSE343/CSE342/CSE542/ECE356/ECE556/CSE642/ECE553/CSE641,,Monsoon,https://docs.google.com/spreadsheets/d/1xqzux2h-lOeKI90uvqlsAHes5WEhSSt8/pubhtml?widget=true&amp;headers=false
,Design Futures,DF,DES509,DES519,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vS-9-JGg3Skzza0N_I8jlyMyo1Sw-zUGoZm0G0saeAzrBnflq9YkYPbecrXYNxxnQ/pubhtml?widget=true&amp;headers=false
,Game Design and Development,GDD,DES512,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQko_3Putqqq4WVYYn6lNQDImNWQdWTxuykEq4eGukwntiBz-NkKkM161TKtjGpWUnx5oF7F_s8v7tf/pubhtml?gid=964043804&amp;single=true&amp;widget=true&amp;headers=false
,"Wearable Applications, Research, Devices, Interactions",WARDI,DES513,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQYyPhX6P9FDvIv-MeIBp8WizAJ4aIye_U_3C-8y_AxbJ_sxTbE1U1mxs2uj3n1YYYa0zcdIBPcPhwA/pubhtml?gid=421299294&amp;single=true&amp;widget=true&amp;headers=false
,Digital Audio & Video Production Workflow,DAVP,DES514,,DigitalAudio,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQLgTaKMeseURBa8WT7Yw0QiGcBibOddW0YoMyd9nK5pfQvnCQjbpgSkn64pPXgUQ/pubhtml?widget=true&amp;headers=false
,Information Systems in Public Health,ISPR,DES515,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSAaVcuZv-DEeZpAQuUDvf29bsBEXct79RyI6L07SUlg6eA_rKuUEtgIJCZkYkrQ6iA7iLypiUlp0-H/pubhtml?gid=457281567&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to 3D Production Design for Animation and Games,I3DD,DES516,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTXFbB2TR59QfL3Tyfp1zmjWmZ2s8g4FoJa2KD5Fh266VNIFuAVb7Y3QrQ6SB__5N8JiPm7g8mLseTI/pubhtml?gid=2135917664&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to 3D Animation,I3D,DES516s,,DES302,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRGxt9mD0qS31ZbbdHjlzb_FLdGZlOd0aLR-I02QZ1A-h5b4_i3PXu_2YoinUH2vh-6xeD0sCARjZ5E/pubhtml?gid=197750622&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to Motion Graphics,IMG,DES518,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRoK_vCYemKJmEZ0s5tKGdwS_NhcoWOs8C0a8hW7OUVcu95Omm2vYWPhBadzxThCc50fyUDYMQIPlqF/pubhtml?gid=1025613928&amp;single=true&amp;widget=true&amp;headers=false
,Human Centred AI,HCAI,DES520,"DES204,CSE643orCSE343/CSE543/ECE563orCSE440",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQOZw2vVZrO5QHUrBvzUXvozOWZ-iwtEiYkayf32AHTubyOAZi_N8_WI0XV6Od26w/pubhtml?widget=true&amp;headers=false
,Fundamentals of Video for Engineers,FVE,DES521,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQVpFjknQbujiSMIYCBr-MtmX6O4IvPG0xUzdhFY44udEy6OCcZLPTvmY6IcMh7Eg/pubhtml?widget=true&amp;headers=false
,"Inclusive Design, Universal Design & Accessibility",IDUDA,DES522,DES201,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTiqMxZkqqqgPH-aWkwzP3U0RXdJosVivZ2AGiS5uAbXbFz5PyhtM1NlWz7lymO1WvAZhrHhYzn6FD9/pubhtml?widget=true&amp;headers=false
,Digital Circuits,DC,ECE111,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSkGa5bh2BjIh4ROajJ3VxtQw1SEXe16Kfu0o_DGRwYfVLgkSX50i5MfqUhSZp7Tw/pubhtml?widget=true&amp;headers=false
,Basic Electronics,BE,ECE113,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQC7AhfaGj0RkLRAlHqEO7urQZMyKG9hDJy3mIQ9XM1CfZ8qAs5XZOJjXK-GsTMdGq__ubH4CAGshXe/pubhtml?gid=576679465&amp;single=true&amp;widget=true&amp;headers=false
,Integrated Electronics,IE,ECE214,"ECE111,ECE113,DES130",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTuhOBvJ7cOzHHNB1Jhd-cfJ4uHU2WA733aawOVjyYTHaqjMRUfR2MiwG1PlzCs7CbmWEvwzwKYBVtF/pubhtml?gid=69761385&amp;single=true&amp;widget=true&amp;headers=false
,Circuit Theory and Devices,CTD,ECE215,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRyXS_kFvHrraFaUYZP_yFPE-KWmF_YcOuItqkVkt20IERFO7nu03gahS0e1d1ntDy-yMB8S741mAS1/pubhtml?gid=1086194027&amp;single=true&amp;widget=true&amp;headers=false
,Fields and Waves,F&W,ECE230,MTH203,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQPyhmQdukdA7vX7eAiI8cNDb2ghCa556Fg5tCdy77QPlEuSm9ViZj8a83NsjDfowSncdeQFCWK0BHQ/pubhtml?gid=253098765&amp;single=true&amp;widget=true&amp;headers=false
,Principles of Communication Systems,PCS,ECE240,"ECE250,MTH201",,Winter,
,Signals and Systems,S&S,ECE250,MTH100,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTZwXXby-nB7OuQMJansGatZ2YB2pG46cgayzbjJ-HoM01nXuMG0Kj1vgWwADJNLw/pubhtml?widget=true&amp;headers=false
,Embedded Logic Design,ELD,ECE270,,,Monsoon,https://docs.google.com/spreadsheets/d/1ci-PlOYxHfMLlzln1-mE1YZFeqVirtVK/pubhtml?widget=true&amp;headers=false
,Digital VLSI Design,DVD,ECE314/ECE514,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-czG5UwKXaSlxXVOYkXB-PVRrUSsl2Hdg27CHjvYkFS9hqvasEXX6Aje7wcoUsprj5cNk0ibHrvME/pubhtml?gid=578682891&amp;single=true&amp;widget=true&amp;headers=false
,Analog CMOS Circuit Design,CMOS,ECE315/ECE515,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRQizAmslIoLP2VlILBGfBVhIfJW9YRBd-iVXIyVI_N4OpfZRlIkxr04vxHXmF6XIDU0XIRbcIzImIT/pubhtml?gid=961648946&amp;single=true&amp;widget=true&amp;headers=false
,Solid State Devices,SSD,ECE318/ECE518,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTVXcbCHqc1sktT2nnSz0-Xw0MDr8nMbo-daocfDVBX0CS8apVFcFnVt7WN9n2yWw/pubhtml?widget=true&amp;headers=false
,RF Circuit Design,RFCD,ECE321/ECE521,ECE230,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSEnntXJ3_ouRavmO0DpYOhgF2_8FgxTWvZkqK_qMnWIq0355fCZV3Nhko7NC04Wg8qZP7n1I82RPir/pubhtml?gid=1905858712&amp;single=true&amp;widget=true&amp;headers=false
,Digital Communication Systems,DCS,ECE340/ECE540,ECE240,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQUpN_bwPQTQZm8rmKQ1GlNFmZ9tsLmPQIA3rf5L6VdmOWgdLpPy4pkxTR9Fmt1zA/pubhtml?widget=true&amp;headers=false
,Mobile Communications,MCOM,ECE343,ECE240,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRFLs119lEYsQPudalmO71ABavyaC0cGiSUVrB3umpYXOnAGMtPbgWhtHqxxPjPXp8Dzmsbuia3Da_O/pubhtml?gid=1832771249&amp;single=true&amp;widget=true&amp;headers=false
,Digital Signal Processing,DSP,ECE351,ECE250,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTg_tMRn_5jNvc5QzC9eXFuvE1IbYR9iPq8-y6jl9NuHUSjuPgc_5qboyex9to0sw/pubhtml?widget=true&amp;headers=false
,Machine Learning,ML,ECE363/ECE563/CSE343/543,"MTH100,MTH201,CSE101,MTH203",,Monsoon/Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ0yBX-K7pisSalDSyViDrzDJOvAHR_PT_-Iyyy-QVmq0QbvBPPOLWMwHquZoJgKw/pubhtml?widget=true&amp;headers=false
,Mixed Signal Design,MSD,ECE412/ECE612,ECE315/ECE515,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRHJudGfm6UAL6MV0k_0yXeXfJWeWnyKMKiNiGuIG412-AakGrNjTNqkRgGxBkwUgfnic_4ESiu9vEr/pubhtml?widget=true&amp;headers=false
,Antennas Theory and Design,ATD,ECE431/ECE631,ECE230,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSN9bG-m7OjXtNhOIbJr_BipWGGSm4J-BhkEl4IQEk49EbLXC3J7Addq6zraIX52pxA_x6daEtBrIP2/pubhtml?gid=1810125944&amp;single=true&amp;widget=true&amp;headers=false
,Radar Systems,RS,ECE432/ECE632,ECE250,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQgsl8yPvvYsf3rCKB4cG60glfbAouunXEzzaI-O9jw48Lx4Ri7pAgXFcGUnm5iTiM62fSATaKjZeEd/pubhtml?gid=593611867&amp;single=true&amp;widget=true&amp;headers=false
,Statistical Signal Processing,SSP,ECE452/ECE552,"MTH100,MTH201,ECE250",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQa5QBomgg0CZNO0W2u9t98wjM_ZoDg1gIUaYHY8nbMmGaAe9Aiwyk6WyP1EtA5B14pJLJifcxorocr/pubhtml?gid=751082229&amp;single=true&amp;widget=true&amp;headers=false
,Probability and Random Process,PRP,ECE501,ECE240,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQEk-OI4FrdgU1QZFx7FY1DnWgiBQB8tx89z4OfFA-hpzMt_JHYDVk6Tb89NRGiHZD16VzQ2csY3LBH/pubhtml?widget=true&amp;headers=false
,Digital Hardware Design,DHD,ECE510,ECE270,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTIjsSenVpraTjQTAf5drfu3T2H3w1pKMIJZIV1vWv3oogFgLeJBQM8tHZMhAl94ZIYe3Hn0iKw3NAm/pubhtml?gid=449284178&amp;single=true&amp;widget=true&amp;headers=false
,VLSI Design Flow,VDF,ECE513,ECE101,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSd9QtQNcLRrVrMrokU5TvNGkS3KnaJ--RDmADfYlVquNeku_ubbcEXCD5JYLNEVw/pubhtml?widget=true&amp;headers=false
