Unnamed: 0,Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Sheet Link
,Computational Gastronomy,CGAS,BIO544,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRhBNpDTTR0znvSZ8X-iPJh1pePNyEEG5J6-qhS49lRar22uPX6e4fJqKRIskFNAnRdMcEIKOlGMsJ9/pubhtml?gid=314307993&amp;single=true&amp;widget=true&amp;headers=false
,Biostatistics,BioStats,BIO545,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vT4NIH4eotZuQScTYUY7gV9pIYXNzu78d11XgbiyN6UeyFkgOzM-4aQ3_tRSOrYJ08EpC8blW0lGhP7/pubhtml?gid=2102693669&amp;single=true&amp;widget=true&amp;headers=false
,Computing for Medicine,CM,BIO546/CSE585,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vS1XroyQBEq1-0G_uovd_APFhO3DtylBazeJ78E2WP7hnWtWAxTyNWJ0nnNtkNKRuWLn6C3V-l5b_Ly/pubhtml?gid=1679481713&amp;single=true&amp;widget=true&amp;headers=false
,Computer Aided Drug Design,CADD,BIO561,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRKsZJj3xhFyz2KzRYhlIBZCeG3dRIJN1XZp4CzubKBcdj2-cNtvin0G1vtThPKTelx082rnkb0vAsK/pubhtml?gid=532691258&amp;single=true&amp;widget=true&amp;headers=false
,Communication Skills,COM,COM101,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRPICUZTFZnTTGh6wC_OLH4n3Au9dKMRlTSCQQbCtoIidJ9d7NhbRJf6elfIDzOlUJPEH_e4PAdpM3O/pubhtml?widget=true&amp;headers=false
,Technical Communication,TCOM,COM301A,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vT8A3tUli056xZDXBJI1UBB_PuK98YxzF7fTy7Il_1sfysW3VZgftJSKZ9lVAEyaa11cfQ4Ne-bK5_u/pubhtml?gid=629444316&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to Programming,IP,CSE101,,,Monsoon,https://docs.google.com/spreadsheets/d/1RF31SCBPCpQ79dzpEZ5C4VexrVwJRExN/pubhtml?widget=true&amp;headers=false
,Data Structures & Algorithms,DSA,CSE102,CSE101,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSOm8UzwldOW7BGnA88K0w15o9KvH37sFareZgF3uEKge8Jfafqo9hpVPo_mQL3Bw/pubhtml?widget=true&amp;headers=false
,Computer Organization,CO,CSE112,ECE111,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQFYlF8e7TDCBGlIqliAXC7Q2gh-vzC16sJ2BIzcg5dkE4mYDhOcU1yGq3OujEk4w/pubhtml?widget=true&amp;headers=false
,Discrete Mathematics,DM,CSE121,,MTH210,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRKr_LEmGYvied0RoMu9AYuW60ml8DEs5I3VrU4_fAiq5MnbV_SVynN4KBhz80qzTOd0oqLJJcdQWPM/pubhtml?gid=457308959&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to Intelligent Systems,IIS,CSE140,IntroductiontoProgramming[CSE101],,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQxHvc0FeJW85tz-w_NauWAleNfDulcXI27SitTapBd87A794ZcE7DTaW3jbQa7Uw/pubhtml?widget=true&amp;headers=false
,Advanced Programming,AP,CSE201,"CSE101,CSE102",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRumhiotCRnpYjwWmnmk6LDY1Diqn2-jx51DeAT-oFFbuqGIwW7iGP1V7nGCpFXAA/pubhtml?widget=true&amp;headers=false
,Fundamentals of Database Management System,DBMS,CSE202,CSE102,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQRw4lnH0RulpXLPzlgNbjXhEYvTnCJsshXtyA02SonQl4OVe5AIljfaZ6WbUFIvA/pubhtml?widget=true&amp;headers=false
,Algorithm Design and Analysis,ADA,CSE222,CSE102,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vR638UJHbjcoR-UI-sBBcgwe3MoBJSgn8lzlytKHnOUCxWwYrWqWSVtcUQg-SOFRg/pubhtml?widget=true&amp;headers=false
,Algorithm Design and Analysis,ALD,CSE223,CSE102,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRalErH8wK9mXrPe8Qa0kGeNHiVpK0hr3oCOmJIQiTqCJBDFid72aBGKnjibln3_iWTFfFXOV42FddA/pubhtml?widget=true&amp;headers=false
,Operating Systems,OS,CSE231,CSE102,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTSROsPM6BIuDWGT_9n_4eNejN0eGVSwZd2CgTH8JjLoGkqSmUb6TUMLRlXJczwow/pubhtml?widget=true&amp;headers=false
,Computer Networks,CN,CSE232,"CSE101,CSE231,CSE222",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSOUuxk2Jr25ZsMWCkMeV5m-fRFLDzPt3MBgtBh8aoSG25PDN8VdzZtvABOmMCMEg/pubhtml?widget=true&amp;headers=false
,Network Administration,NAD,CSE233,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSvtd1l-cyBGgT_hXHRdI1u0ExkP_e9CnpFxne-IsXA-iwHtUNGbwBrH8Peb2w87ksc1d_uIPQKNUDY/pubhtml?gid=58402276&amp;single=true&amp;widget=true&amp;headers=false
,Modern Algorithm Design,MAD,CSE319/CSE519,CSE222,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRfVzbmg10hUY1XQCo-_rJNO6FFvDMlLPLNwWOIkQaoJIDYGvCxJnbUPS2VVR_b-w/pubhtml?widget=true&amp;headers=false
,Advanced Algorithms,AA,CSE320/CSE520,CSE102,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTLKzmqJjIc-JQ_xB-NI34vFLBOYxKts43-zXwSmJk0FkPAsV9_XDJQuczcNi6hl_XhXb3fEMdBkpPA/pubhtml?gid=1587191991&amp;single=true&amp;widget=true&amp;headers=false
,Theory of Computation,ToC,CSE322,CSE121orMTH210,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vT-HRO6ZKq-LIl3VDwHMfiEXADxq_tljEOW_7fzjSgqfsf5Ja8l55MHgpM6h6X1VQ/pubhtml?widget=true&amp;headers=false
,Computer Graphics,CG,CSE333/CSE533,CSE101,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmKKWsKbDAwO4c2TQ5gvp9BN13uVof99_RoiZici_ooK17AoB_dsuSsYuOBtM10JB2uQPp_kHjSN8J/pubhtml?gid=632304378&amp;single=true&amp;widget=true&amp;headers=false
,Digital Image Processing,DIP,CSE340/CSE540/ECE340,"MTH100,MTH201",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRDeQTHtUam1ifxBHB-3ZJGblc8ZiPtc03UG7oh4Oxd1rknRIydDCa-Vyyr6xdILuRXfrIHxssFbVDF/pubhtml?gid=633838733&amp;single=true&amp;widget=true&amp;headers=false
